id,split,category,language,difficulty,question_type,question,expected_answer,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
QA-011,all,policy,en,unspecified,factual,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",What are the password requirements?,True,policy_password.docx,,1,,1.0,,,,226.532,5,0.76331,0.712747,,0.915,True,,,0.793094,Top-k evidence collectively satisfies the question without contradictions.,0.193306,2,1:Policy_Password.docx#p1[0.76331] | 2:FAQ_IT_Support.txt#p-[0.570004] | 3:Policy_Password.docx#p1[0.491203] | 4:Policy_Password.docx#p1[0.487831] | 5:Policy_Password.docx#p1[0.436062],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-012,all,policy,en,unspecified,factual,What is the domestic meal per diem?,"IDR 250,000 per day.",What is the domestic meal per diem?,True,policy_travel_expense.docx,,1,,1.0,,,,226.778,1,0.895,0.86,,1.0,True,,,0.9068,Top-k evidence collectively satisfies the question without contradictions.,0.895,1,1:Policy_Travel_Expense.docx#p1[0.895],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-013,all,report,en,unspecified,factual,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",What was Q3 2025 revenue?,True,report_q3_2025_performance.pdf,,1,,1.0,,,,215.994,5,0.895,0.86,,1.0,True,,,0.86418,Top-k evidence collectively satisfies the question without contradictions.,0.0,2,1:Report_Q3_2025_Performance.pdf#p1[0.895] | 2:Report_Financial_FY2025.pdf#p1[0.895] | 3:Report_CSAT_2025.pdf#p1[0.476638] | 4:Report_IT_Audit_2025.pdf#p1[0.385879] | 5:Report_Security_Review_2025.pdf#p1[0.376882],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-014,all,report,en,unspecified,factual,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,What was the root cause of the October 2025 outage?,True,report_incident_postmortem.pdf,,1,,1.0,,,,225.047,5,0.895,0.86,,1.0,True,,,0.87768,Top-k evidence collectively satisfies the question without contradictions.,0.534259,5,1:Report_Incident_Postmortem.pdf#p1[0.895] | 2:Report_IT_Audit_2025.pdf#p1[0.360741] | 3:Report_Network_Capacity.pdf#p1[0.333526] | 4:Report_Sustainability_2025.pdf#p1[0.332542] | 5:Report_Security_Review_2025.pdf#p1[0.326955],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-015,all,report,en,unspecified,factual,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",What was the 2025 overall CSAT score?,True,report_csat_2025.pdf,,1,,1.0,,,,224.836,5,0.895,0.86,,1.0,True,,,0.8982,Top-k evidence collectively satisfies the question without contradictions.,0.318639,5,1:Report_CSAT_2025.pdf#p1[0.895] | 2:Report_CSAT_2025.pdf#p1[0.576361] | 3:Report_Vendor_Evaluation.pdf#p1[0.50377] | 4:Report_Financial_FY2025.pdf#p1[0.418964] | 5:Report_Q3_2025_Performance.pdf#p1[0.406899],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-016,all,report,en,unspecified,factual,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",How many security incidents occurred in 2025?,True,report_security_review_2025.pdf,,1,,1.0,,,,200.672,5,0.794196,0.775594,,0.85,True,,,0.828626,Top-k evidence collectively satisfies the question without contradictions.,0.306307,4,1:Report_Security_Review_2025.pdf#p1[0.794196] | 2:Policy_Data_Security.docx#p1[0.487889] | 3:Report_IT_Audit_2025.pdf#p1[0.457101] | 4:SOP_IT_Incident_Handling.pdf#p1[0.448321] | 5:Policy_Data_Security.docx#p1[0.440786],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-017,all,report,en,unspecified,factual,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",What was full-year 2025 revenue?,True,report_financial_fy2025.pdf,,1,,1.0,,,,200.952,5,0.895,0.86,,1.0,True,,,0.84429,Top-k evidence collectively satisfies the question without contradictions.,0.395227,2,1:Report_Financial_FY2025.pdf#p1[0.895] | 2:Report_Q3_2025_Performance.pdf#p1[0.499773] | 3:Report_CSAT_2025.pdf#p1[0.378171] | 4:Report_CSAT_2025.pdf#p1[0.331399] | 5:Policy_Leave.docx#p1[0.30582],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-018,all,tech,en,unspecified,factual,What database does the platform use?,"PostgreSQL 15, with Redis for caching.",What database does the platform use?,True,tech_system_architecture.txt,,1,,1.0,,,,227.807,4,0.714694,0.714694,,0.7,True,,,0.797362,Top-k evidence collectively satisfies the question without contradictions.,0.191608,4,1:TECH_System_Architecture.txt#p-[0.714694] | 2:TECH_Database_Schema.txt#p-[0.523086] | 3:Policy_Data_Security.docx#p1[0.405593] | 4:TECH_Deployment_Runbook.txt#p-[0.342453],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-019,all,tech,en,unspecified,factual,How long are internal API tokens valid?,60 minutes.,How long are internal API tokens valid?,True,tech_internal_api_guide.txt,,1,,1.0,,,,358.243,5,0.775678,0.71507,,0.9575,True,,,0.865802,Top-k evidence collectively satisfies the question without contradictions.,0.257751,5,1:TECH_Internal_API_Guide.txt#p-[0.775678] | 2:Report_Hiring_H1_2025.pdf#p1[0.517927] | 3:FAQ_Onboarding.txt#p-[0.514466] | 4:Report_Incident_Postmortem.pdf#p1[0.505858] | 5:SOP_Offboarding.pdf#p1[0.500323],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-020,all,tech,en,unspecified,factual,What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,What are the RTO and RPO?,True,tech_disaster_recovery.txt,,1,,1.0,,,,563.6,4,0.910729,0.880972,,1.0,True,,,0.802569,Top-k evidence collectively satisfies the question without contradictions.,0.553815,1,1:TECH_Disaster_Recovery.txt#p-[0.910729] | 2:SOP_Offboarding.pdf#p1[0.356914] | 3:SOP_Data_Backup.pdf#p1[0.323553] | 4:SOP_IT_Incident_Handling.pdf#p1[0.317044],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-021,all,tech,en,unspecified,factual,What is the API availability SLO?,99.9% per month.,What is the API availability SLO?,True,tech_monitoring_guide.txt,,1,,1.0,,,,535.764,4,0.895,0.86,,1.0,True,,,0.8928,Top-k evidence collectively satisfies the question without contradictions.,0.511098,4,1:TECH_Monitoring_Guide.txt#p-[0.895] | 2:TECH_Internal_API_Guide.txt#p-[0.383902] | 3:TECH_Disaster_Recovery.txt#p-[0.370283] | 4:Report_Incident_Postmortem.pdf#p1[0.332905],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-022,all,tech,en,unspecified,factual,How long are audit logs retained?,7 years.,How long are audit logs retained?,True,tech_data_retention.txt,,1,,1.0,,,,534.978,5,0.844357,0.792476,,1.0,True,,,0.799541,Top-k evidence collectively satisfies the question without contradictions.,0.40189,1,1:TECH_Data_Retention.txt#p-[0.844357] | 2:Report_IT_Audit_2025.pdf#p1[0.442467] | 3:SOP_Data_Backup.pdf#p1[0.412877] | 4:Report_Hiring_H1_2025.pdf#p1[0.406977] | 5:SOP_Offboarding.pdf#p1[0.376167],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-023,all,tech,en,unspecified,factual,What unit-test coverage is required to merge code?,At least 80%.,What unit-test coverage is required to merge code?,True,tech_cicd_pipeline.txt,,1,,1.0,,,,516.066,4,0.895,0.86,,1.0,True,,,0.8838,Top-k evidence collectively satisfies the question without contradictions.,0.569776,4,1:TECH_CICD_Pipeline.txt#p-[0.895] | 2:Policy_Code_of_Conduct.docx#p1[0.325224] | 3:TECH_Coding_Standards.txt#p-[0.312493] | 4:FAQ_Benefits.txt#p-[0.301739],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-024,all,faq,en,unspecified,factual,How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,How do I reset my password?,True,faq_it_support.txt,,1,,1.0,,,,555.861,4,0.895,0.86,,1.0,True,,,0.874125,Top-k evidence collectively satisfies the question without contradictions.,0.273538,2,1:FAQ_IT_Support.txt#p-[0.895] | 2:Policy_Password.docx#p1[0.621462] | 3:Policy_Password.docx#p1[0.427922] | 4:Policy_Password.docx#p1[0.338637],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-025,all,faq,en,unspecified,factual,When is payday?,The 25th of each month (prior working day if a holiday).,When is payday?,True,faq_payroll.txt,,1,,1.0,,,,547.716,1,0.86,0.86,,0.85,True,,,0.87,Top-k evidence collectively satisfies the question without contradictions.,0.86,1,1:FAQ_Payroll.txt#p-[0.86],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-026,all,faq,en,unspecified,factual,What is the mailbox size limit?,50 GB.,What is the mailbox size limit?,True,faq_email_calendar.txt,,1,,1.0,,,,547.974,3,0.895,0.86,,1.0,True,,,0.8988,Top-k evidence collectively satisfies the question without contradictions.,0.514575,3,1:FAQ_Email_Calendar.txt#p-[0.895] | 2:TECH_Internal_API_Guide.txt#p-[0.380425] | 3:Policy_WFH.docx#p1[0.368823],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-027,all,faq,en,unspecified,factual,What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",What should I bring on my first day?,True,faq_onboarding.txt,,1,,1.0,,,,535.711,4,0.895,0.86,,1.0,True,,,0.89955,Top-k evidence collectively satisfies the question without contradictions.,0.506615,4,1:FAQ_Onboarding.txt#p-[0.895] | 2:SOP_Customer_Complaint.pdf#p1[0.388385] | 3:Policy_BYOD.docx#p1[0.3231] | 4:SOP_Onboarding.pdf#p1[0.310755],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-028,all,faq,en,unspecified,factual,Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.",Is there a home-office allowance?,True,faq_remote_work.txt,,1,,1.0,,,,533.018,4,0.824375,0.78,,0.9575,True,,,0.8331,Top-k evidence collectively satisfies the question without contradictions.,0.295054,2,1:FAQ_Remote_Work.txt#p-[0.824375] | 2:FAQ_Benefits.txt#p-[0.529321] | 3:Policy_WFH.docx#p1[0.47941] | 4:Policy_WFH.docx#p1[0.418349],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-029,all,faq,en,unspecified,factual,What is the replacement fee for an access card?,"IDR 50,000.",What is the replacement fee for an access card?,True,faq_facilities.txt,,1,,1.0,,,,558.602,3,0.895,0.86,,1.0,True,,,0.89325,Top-k evidence collectively satisfies the question without contradictions.,0.340802,2,1:FAQ_Facilities.txt#p-[0.895] | 2:SOP_Offboarding.pdf#p1[0.554198] | 3:SOP_Access_Provisioning.pdf#p1[0.300911],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-030,all,report,en,unspecified,factual,How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",How many new enterprise customers were added in Q3 2025?,True,report_q3_2025_performance.pdf,,1,,1.0,,,,523.815,5,0.835,0.78,,1.0,True,,,0.8516,Top-k evidence collectively satisfies the question without contradictions.,0.394216,5,1:Report_Q3_2025_Performance.pdf#p1[0.835] | 2:Report_CSAT_2025.pdf#p1[0.440784] | 3:Report_Hiring_H1_2025.pdf#p1[0.397208] | 4:Report_Security_Review_2025.pdf#p1[0.384782] | 5:Report_Network_Capacity.pdf#p1[0.371835],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
