id,split,category,language,difficulty,question_type,question,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
TECH-002,development,technical,en,easy,requirement,How many approving reviews does a pull request require?,True,tech_coding_standards.txt,tech_coding_standards.txt#p1,1,1,1.0,1.0,,,361.579,4,0.737221,0.53283,0.96178,0.9,True,,,1:TECH_Coding_Standards.txt#p1[0.737221] | 2:SOP_Access_Provisioning.pdf#p1[0.340745] | 3:SOP_Procurement.pdf#p1[0.334818] | 4:SOP_Leave_Request.pdf#p1[0.324103],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-003,development,technical,en,medium,factual,How long are audit logs retained?,True,tech_data_retention.txt,tech_data_retention.txt#p1,1,1,1.0,1.0,,,422.32,1,0.859501,0.792476,0.850168,1.0,True,,,1:TECH_Data_Retention.txt#p1[0.859501],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-004,development,technical,en,medium,schema,Which field links the orders table to the customers table?,True,tech_database_schema.txt,tech_database_schema.txt#p1,1,1,1.0,1.0,,,235.471,1,0.867347,0.795911,0.987966,0.88,True,,,1:TECH_Database_Schema.txt#p1[0.867347],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-005,development,technical,en,hard,multi_fact,On which days and during what time window are production deployments scheduled?,True,tech_deployment_runbook.txt,tech_deployment_runbook.txt#p1,1,1,1.0,1.0,,,328.754,1,0.820377,0.667274,0.994353,0.93625,True,,,1:TECH_Deployment_Runbook.txt#p1[0.820377],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-006,development,technical,id,medium,multi_fact,Berapa nilai RTO dan RPO pada rencana pemulihan bencana?,True,tech_disaster_recovery.txt,tech_disaster_recovery.txt#p1,1,1,1.0,1.0,,,316.054,1,0.916406,0.886758,0.999789,0.886667,True,,,1:TECH_Disaster_Recovery.txt#p1[0.916406],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-007,development,technical,en,hard,multi_fact,"How long does an internal API token remain valid, and what is the default client rate limit?",True,tech_internal_api_guide.txt,tech_internal_api_guide.txt#p1,1,1,1.0,1.0,,,377.497,1,0.905284,0.838031,0.998851,0.938182,True,,,1:TECH_Internal_API_Guide.txt#p1[0.905284],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
NEG-001,development,negative,id,medium,unanswerable,Berapa lama cuti melahirkan yang diberikan perusahaan?,False,,,,,,,True,False,608.194,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-002,development,negative,id,medium,unanswerable,Apakah perusahaan memberikan subsidi makan siang di kantin?,False,,,,,,,True,False,357.745,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-003,development,negative,id,hard,unanswerable,Berapa pendapatan resmi perusahaan untuk tahun penuh 2026?,False,,,,,,,True,False,370.753,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-004,development,negative,id,hard,unanswerable,Berapa persen pengurangan konsumsi air di kantor Cikarang pada 2025?,False,,,,,,,True,False,249.886,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NEG-005,development,negative,id,medium,unanswerable,Versi minimum macOS apa yang didukung untuk laptop perusahaan?,False,,,,,,,True,False,337.666,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
