id,split,category,language,difficulty,question_type,question,answerable,expected_answer,expected_answer_keywords,expected_documents,expected_pages,source_excerpts,notes
REP-001,development,report,en,medium,multi_fact,What were the overall CSAT score and Net Promoter Score in 2025?,true,"The 2025 CSAT score was 87%, and the Net Promoter Score was 46.",87% | 46 | CSAT | Net Promoter Score,Report_CSAT_2025.pdf,1,"The overall CSAT score for 2025 was 87%, up from 83% in 2024. NPS Net Promoter Score reached 46 in 2025.",Requires synthesis of two related report metrics.
REP-002,development,report,id,medium,multi_fact,Berapa pendapatan tahun 2025 dan margin laba bersih perusahaan?,true,Pendapatan tahun 2025 adalah IDR 158 miliar dengan margin laba bersih 14%.,IDR 158 billion | 14% | net profit margin,Report_Financial_FY2025.pdf,1,Full-year 2025 revenue was IDR 158 billion. Net profit margin was 14%.,Cross-lingual financial multi-metric question.
REP-003,development,report,en,medium,multi_fact,"How many employees were hired in the first half of 2025, and what was the resulting headcount?",true,"The company hired 37 employees in H1 2025, bringing total headcount to 312.",37 employees | 312 | H1 2025,Report_Hiring_H1_2025.pdf,1,The company hired 37 employees in H1 2025; total headcount reached 312.,Requires two linked hiring figures.
REP-004,development,report,en,hard,multi_fact,"How many IT audit findings were raised in 2025, and how were they distributed by severity?",true,"The audit raised 14 findings: 2 high, 5 medium, and 7 low.",14 findings | 2 high | 5 medium | 7 low,Report_IT_Audit_2025.pdf,1,"The 2025 audit raised 14 findings: 2 high, 5 medium, 7 low.",Tests a complete severity distribution.
REP-005,development,report,id,medium,causal,Apa penyebab utama gangguan portal pelanggan pada 14 Oktober 2025?,true,Penyebab utamanya adalah sertifikat TLS yang kedaluwarsa pada API gateway.,expired TLS certificate | API gateway,Report_Incident_Postmortem.pdf,1,The root cause was an expired TLS certificate on the API gateway.,Cross-lingual root-cause question.
REP-006,development,report,en,medium,factual,"What was the peak network utilization, and in which month did it occur?",true,Peak network utilization reached 72% of capacity in November 2025.,72% | November 2025 | network utilization,Report_Network_Capacity.pdf,1,Peak network utilization reached 72% of capacity in November 2025.,Tests metric plus time period.
REP-007,development,report,en,hard,comparison,How did customer churn change from Q2 to Q3 2025?,true,"Customer churn decreased from 2.8% in Q2 2025 to 2.1% in Q3 2025, a decline of 0.7 percentage points.",2.8% | 2.1% | down | 0.7 percentage points,Report_Q3_2025_Performance.pdf,1,"Customer churn in Q3 2025 was 2.1%, down from 2.8% in Q2.",Expected answer includes a simple derived difference supported by the cited values.
REP-008,test,report,en,medium,multi_fact,"How many reportable security incidents occurred in 2025, and did any cause data loss?",true,"There were three reportable security incidents, and none resulted in data loss.",3 | none | data loss,Report_Security_Review_2025.pdf,1,"There were 3 reportable security incidents in 2025, none resulting in data loss.",Held-out security outcome question.
REP-009,test,report,en,easy,factual,By what percentage did the Cikarang office reduce electricity consumption in 2025?,true,The Cikarang office reduced electricity consumption by 9% in 2025.,9% | Cikarang | electricity consumption,Report_Sustainability_2025.pdf,1,The Cikarang office reduced electricity consumption by 9% in 2025.,Held-out sustainability metric.
REP-010,test,report,en,easy,factual,"Which vendor received the highest rating in the 2025 vendor evaluation, and what was its score?",true,"PT Sumber Makmur received the highest rating, with a score of 4.6 out of 5.",PT Sumber Makmur | 4.6 out of 5,Report_Vendor_Evaluation.pdf,1,PT Sumber Makmur scored highest with an overall rating of 4.6 out of 5.,Held-out entity and score lookup.
SOP-001,development,sop,en,hard,multi_fact,"How often are internal-system access rights reviewed, and when are dormant accounts disabled?",true,"Access rights are reviewed every six months, and accounts inactive for 90 days are disabled.",every 6 months | 90 days inactive | disabled,SOP_Access_Provisioning.pdf,1,Access rights are reviewed every 6 months. Dormant accounts (90 days inactive) are disabled.,Combines periodic review and dormant-account control.
SOP-002,development,sop,en,easy,service_level,Within how long must a customer complaint receive its first response?,true,A customer complaint must receive a first response within one business day.,within 1 business day | first response,SOP_Customer_Complaint.pdf,1,All customer complaints must receive a first response within 1 business day.,Tests a service-level target.
SOP-003,development,sop,en,medium,multi_fact,"How often are production databases backed up, and when does the nightly full backup run?",true,"Production databases are backed up every six hours, and the nightly full backup runs at 01:00 WIB.",every 6 hours | 01:00 WIB | full backups,SOP_Data_Backup.pdf,1,Production databases are backed up every 6 hours. Full backups run nightly at 01:00 WIB.,Tests two backup schedule details.
SOP-004,development,sop,id,medium,requirement,Untuk pengeluaran sebesar berapa bukti pembayaran asli wajib disertakan?,true,Bukti pembayaran asli wajib disertakan untuk setiap satu pengeluaran di atas IDR 150.000.,"above IDR 150,000 | original receipts",SOP_Expense_Reimbursement.pdf,1,"Original receipts are required for any single expense above IDR 150,000.",Cross-lingual reimbursement threshold question.
SOP-005,development,sop,en,hard,service_level,What are the acknowledgement and resolution targets for a P1 incident?,true,A P1 incident must be acknowledged within 15 minutes and resolved within four hours.,15 minutes | 4 hours | P1,SOP_IT_Incident_Handling.pdf,1,P1 incidents must be acknowledged within 15 minutes and resolved within 4 hours.,Requires both incident response targets.
SOP-006,development,sop,en,medium,approval,What additional approval is required for leave longer than five consecutive days?,true,Leave longer than five consecutive days also requires department-head approval.,department head approval | longer than 5 consecutive days,SOP_Leave_Request.pdf,1,Leave longer than 5 consecutive days also needs department head approval.,Tests escalation of an approval workflow.
SOP-007,development,sop,id,easy,service_level,Berapa lama batas waktu IT untuk mencabut seluruh akses sistem karyawan yang keluar?,true,IT harus mencabut seluruh akses sistem dalam waktu dua jam sejak waktu keluar karyawan.,within 2 hours | exit time | revokes all system access,SOP_Offboarding.pdf,1,IT revokes all system access within 2 hours of the employee's exit time.,Cross-lingual offboarding control question.
SOP-008,test,sop,en,easy,factual,For how long is an onboarding buddy assigned to a new hire?,true,An onboarding buddy is assigned for the first 30 days.,first 30 days | onboarding buddy,SOP_Onboarding.pdf,1,Each new hire is assigned an onboarding buddy for the first 30 days.,Held-out onboarding detail distinct from the onboarding FAQ.
SOP-009,test,sop,en,medium,requirement,What information must a new vendor submit before the first purchase order is issued?,true,A new vendor must submit a tax ID or NPWP and bank details before the first purchase order is issued.,NPWP | bank details | first purchase order,SOP_Procurement.pdf,1,New vendors must submit a tax ID (NPWP) and bank details before the first purchase order is issued.,Held-out vendor onboarding requirement.
SOP-010,test,sop,en,medium,procedural,"How far in advance must a domestic flight be booked, and through whom?",true,A domestic flight must be booked at least seven days in advance through the appointed travel agent.,at least 7 days | appointed travel agent | domestic flights,SOP_Travel_Booking.pdf,1,Domestic flights must be booked at least 7 days in advance through the appointed travel agent.,Held-out travel-booking workflow.
TECH-001,development,technical,en,easy,requirement,What minimum unit-test coverage is required before code can be merged?,true,A minimum of 80% unit-test coverage is required to merge.,80% | unit-test coverage | merge,TECH_CICD_Pipeline.txt,1,A minimum of 80% unit-test coverage is required to merge.,Tests a CI/CD quality gate.
TECH-002,development,technical,en,easy,requirement,How many approving reviews does a pull request require?,true,Every pull request requires at least one approving review.,at least one | approving review | pull request,TECH_Coding_Standards.txt,1,Every pull request requires at least one approving review.,Tests a code-review rule.
TECH-003,development,technical,en,medium,factual,How long are audit logs retained?,true,Audit logs are retained for seven years.,7 years | audit logs,TECH_Data_Retention.txt,1,Audit logs are retained for 7 years.,Distinguishes audit-log retention from application-log retention.
TECH-004,development,technical,en,medium,schema,Which field links the orders table to the customers table?,true,The orders table links to the customers table through the customer_id field.,customer_id | orders | customers,TECH_Database_Schema.txt,1,The orders table links to customers via customer_id and stores order_date and status.,Tests schema relationship retrieval.
TECH-005,development,technical,en,hard,multi_fact,On which days and during what time window are production deployments scheduled?,true,Production deployments are scheduled on Tuesdays and Thursdays from 20:00 to 22:00 WIB.,Tuesdays | Thursdays | 20:00-22:00 WIB,TECH_Deployment_Runbook.txt,1,"Production deployments are scheduled on Tuesdays and Thursdays, 20:00-22:00 WIB.",Requires both day and time window.
TECH-006,development,technical,id,medium,multi_fact,Berapa nilai RTO dan RPO pada rencana pemulihan bencana?,true,RTO adalah empat jam dan RPO adalah satu jam.,RTO | 4 hours | RPO | 1 hour,TECH_Disaster_Recovery.txt,1,The recovery time objective (RTO) is 4 hours and the recovery point objective (RPO) is 1 hour.,Cross-lingual disaster-recovery metrics.
TECH-007,development,technical,en,hard,multi_fact,"How long does an internal API token remain valid, and what is the default client rate limit?",true,"An internal API token expires after 60 minutes, and the default rate limit is 100 requests per minute per client.",60 minutes | 100 requests per minute per client,TECH_Internal_API_Guide.txt,1,Tokens expire after 60 minutes. Rate Limit The default rate limit is 100 requests per minute per client.,Requires authentication and rate-limit facts.
TECH-008,test,technical,en,easy,factual,What is the monthly API availability SLO?,true,The API availability SLO is 99.9% per month.,99.9% | per month | API availability SLO,TECH_Monitoring_Guide.txt,1,The API availability SLO is 99.9% per month.,Held-out operational target.
TECH-009,test,technical,en,hard,multi_fact,What architecture and primary data technologies does the platform use?,true,"The platform uses a microservices architecture on Kubernetes, with PostgreSQL 15 as the primary datastore and Redis for caching.",microservices | Kubernetes | PostgreSQL 15 | Redis,TECH_System_Architecture.txt,1,The platform runs on a microservices architecture deployed on Kubernetes. Services communicate over REST and gRPC. Database The primary datastore is PostgreSQL 15. Redis is used for caching.,Held-out architecture synthesis question.
TECH-010,test,technical,id,medium,multi_fact,Aplikasi apa yang digunakan untuk koneksi VPN dan apakah MFA diwajibkan?,true,"Karyawan menggunakan klien WireGuard, dan akses VPN wajib memakai autentikasi multifaktor.",WireGuard | multi-factor authentication | VPN,TECH_VPN_Setup.txt,1,Employees connect using the WireGuard client. Configuration files are issued by IT. MFA VPN access requires multi-factor authentication.,Held-out cross-lingual VPN requirements.
NEG-001,development,negative,id,medium,unanswerable,Berapa lama cuti melahirkan yang diberikan perusahaan?,false,Informasi mengenai durasi cuti melahirkan tidak tersedia dalam dokumen yang diindeks.,,,,,Negative test: leave documents do not state maternity-leave duration.
NEG-002,development,negative,id,medium,unanswerable,Apakah perusahaan memberikan subsidi makan siang di kantin?,false,Informasi mengenai subsidi makan siang di kantin tidak tersedia dalam dokumen yang diindeks.,,,,,Negative test: no cafeteria subsidy information exists.
NEG-003,development,negative,id,hard,unanswerable,Berapa pendapatan resmi perusahaan untuk tahun penuh 2026?,false,Laporan pendapatan tahun penuh 2026 tidak tersedia dalam dokumen yang diindeks.,,,,,Negative temporal test: corpus only contains FY2025 financial data.
NEG-004,development,negative,id,hard,unanswerable,Berapa persen pengurangan konsumsi air di kantor Cikarang pada 2025?,false,Informasi mengenai pengurangan konsumsi air di kantor Cikarang tidak tersedia; dokumen hanya menyebut konsumsi listrik.,,,,,"Adversarial negative: nearby document contains electricity, not water, reduction."
NEG-005,development,negative,id,medium,unanswerable,Versi minimum macOS apa yang didukung untuk laptop perusahaan?,false,Informasi mengenai versi minimum macOS tidak tersedia dalam dokumen yang diindeks.,,,,,Negative technical-support test.
NEG-006,test,negative,en,medium,unanswerable,What is the direct password-reset URL?,false,The indexed documents do not provide a direct password-reset URL; they only instruct employees to raise an IT Helpdesk ticket through the portal.,,,,,Held-out negative with related but insufficient information.
NEG-007,test,negative,en,easy,unanswerable,What is the full street address of the company headquarters?,false,The company headquarters address is not available in the indexed documents.,,,,,Held-out negative entity-information test.
NEG-008,test,negative,en,hard,unanswerable,How often is a full disaster-recovery failover exercise conducted?,false,The indexed documents do not state a schedule for a full disaster-recovery failover exercise.,,,,,Held-out negative that must not be confused with quarterly backup restore tests.
NEG-009,test,negative,en,medium,unanswerable,What is the maximum permitted email attachment size?,false,The maximum email attachment size is not stated in the indexed documents.,,,,,Held-out negative that must not be confused with mailbox quota.
NEG-010,test,negative,en,medium,unanswerable,What is the maximum file-upload size in the customer portal?,false,The indexed documents do not specify a maximum file-upload size for the customer portal.,,,,,Held-out negative portal configuration question.
