ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-022,ollama,qwen3-custom:latest,EN,True,How long are audit logs retained?,7 years.,7 years | audit logs,Audit logs are retained for 7 years.,TECH_Data_Retention.txt,TECH_Data_Retention.txt,TECH_Data_Retention.txt,0,,0,0,0,0,0.0,0.4444,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches retrieved context stating audit logs are retained for 7 years.,,0.9876,6633,8692.13,e56959d592a69ee6
EN-023,ollama,qwen3-custom:latest,EN,True,What unit-test coverage is required to merge code?,At least 80%.,80% | unit-test coverage | merge,A minimum of 80% unit-test coverage is required to merge.,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,0,,0,0,0,0,0.0,0.1429,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly and satisfies expected behavior,,0.8858,7823,9877.54,61e2dbaae86b1dde
EN-024,ollama,qwen3-custom:latest,EN,True,How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,IT Helpdesk | portal | 1x24 hours,Raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours.,FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.9333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context and expected behavior with no added or unsupported information.,,0.9949,6631,8691.32,c01d627956dd6259
EN-025,ollama,qwen3-custom:latest,EN,True,When is payday?,The 25th of each month (prior working day if a holiday).,25th | payday | prior working day,"Payday is on the 25th of each month. If the 25th is a holiday, payment is the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.7097,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer directly matches the context, providing the correct payday schedule including holiday adjustments.",,0.96,7782,9827.42,969950e9cf2d19de
EN-026,ollama,qwen3-custom:latest,EN,True,What is the mailbox size limit?,50 GB.,50 GB | mailbox quota,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,0.0,0.4444,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly quotes the context's exact statement about the 50 GB mailbox quota.,,0.9,6860,8891.91,829c81bc6a8aa970
EN-027,ollama,qwen3-custom:latest,EN,True,What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",valid ID | NPWP | bank account details,"A valid ID, your tax ID (NPWP), and bank account details.",FAQ_Onboarding.txt,FAQ_Onboarding.txt,FAQ_Onboarding.txt,0,,0,0,0,0,0.0,0.9524,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer matches the retrieved context exactly.,,0.9863,7279,9335.1,c6371f75ee7cd742
EN-028,ollama,qwen3-custom:latest,EN,True,Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.","IDR 1,500,000 | home-office allowance","A one-time home-office allowance of IDR 1,500,000 is available.",FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,0,0,0,0,0.0,0.7368,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context about the home-office allowance amount.,,0.9268,7472,9537.85,0d8a11b18fed6e81
EN-029,ollama,qwen3-custom:latest,EN,True,What is the replacement fee for an access card?,"IDR 50,000.","IDR 50,000 | replacement access card","The replacement fee for an access card is IDR 50,000.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.3333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer directly quotes the context's replacement fee of IDR 50,000.",,0.9,6332,8374.89,2ff04c2ba0ea1367
EN-030,ollama,qwen3-custom:latest,EN,True,How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",18 new customers | 214 total | Q3 2025,18,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.2857,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer correctly states the number of new enterprise customers added in Q3 2025 as 18, directly supported by the context.",,0.9812,4593,6659.66,73d635a3b8520d7b
EN-031,ollama,qwen3-custom:latest,EN,True,How many dependents are covered by the company health insurance plan?,The company health insurance plan covers employees and up to three dependents.,up to 3 dependents | health insurance,Up to 3 dependents are covered by the company health insurance plan.,FAQ_Benefits.txt,FAQ_Benefits.txt,FAQ_Benefits.txt,0,,0,0,0,0,0.0,0.75,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer accurately reflects the context's statement about up to 3 dependents.,,0.9834,6518,8543.39,c6f25911ed0ef96f
EN-032,ollama,qwen3-custom:latest,EN,True,What is the standard employee mailbox quota?,The standard mailbox quota is 50 GB.,50 GB | mailbox quota,The standard employee mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,0.0,0.9333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or unsupported information.,,0.9,5741,7793.18,829c81bc6a8aa970
EN-033,ollama,qwen3-custom:latest,EN,True,How much does a replacement employee access card cost?,"A replacement access card costs IDR 50,000.","IDR 50,000 | replacement access card","A replacement employee access card costs IDR 50,000.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.9333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer is directly supported by the retrieved context and correctly answers the question.,,0.8679,6331,8373.55,2ff04c2ba0ea1367
EN-034,ollama,qwen3-custom:latest,EN,True,Where and when can employees find their payslips?,Payslips are available after the 25th in the HR portal under My Documents.,HR portal | My Documents | after the 25th,Employees can find their payslips in the HR portal under My Documents after the 25th.,FAQ_HR.txt,FAQ_HR.txt,FAQ_HR.txt,0,,0,0,0,0,0.0,0.7857,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,System answer matches expected answer and is fully supported by the context.,,0.7782,6923,8982.79,70dbdb26de7bd0f2
EN-035,ollama,qwen3-custom:latest,EN,True,What documents or details should a new employee bring on the first day?,"A new employee should bring a valid ID, a tax ID or NPWP, and bank account details.",valid ID | NPWP | bank account details,The requested information was not found with sufficient evidence in the indexed documents.,FAQ_Onboarding.txt,,,1,Answerable question returned no generation contexts. Verify that the source document is indexed.,1,1,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,Answerable question returned no generation contexts. Verify that the source document is indexed.,GENERATION_FAILED,0.0,3303,5393.03,4f53cda18c2baa0c
EN-036,ollama,qwen3-custom:latest,EN,True,When is salary paid if the 25th falls on a holiday?,Salary is paid on the prior working day when the 25th is a holiday.,prior working day | 25th | holiday,Payment is the prior working day if the 25th falls on a holiday.,FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.7407,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches context and expected behavior with no unsupported claims.,,0.8371,18573,20666.38,3c2942574fc51dd5
EN-037,ollama,qwen3-custom:latest,EN,True,What should an employee do after receiving a suspicious email?,The employee should not click any links and should report the email using the Report Phishing button.,do not click links | Report Phishing button,Do not click links; report it using the Report Phishing button.,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,0,,0,0,0,0,0.0,0.6429,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer matches the context exactly and directly addresses the question.,,0.7845,5776,7867.17,876a9827e5506b58
EN-038,ollama,qwen3-custom:latest,EN,True,Who approves an employee request for access to a software tool?,The system owner approves the software access request submitted through the IT Service Desk.,system owner | IT Service Desk | approves,Request it via the IT Service Desk; the system owner approves.,FAQ_Software_Access.txt,FAQ_Software_Access.txt,FAQ_Software_Access.txt,0,,0,0,0,0,0.0,0.72,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches retrieved context and expected behavior without added claims.,,0.9786,6158,8221.55,9b3e99c47bcf0dfc
EN-039,ollama,qwen3-custom:latest,EN,True,Through which channels can an employee confidentially report harassment?,Harassment can be reported confidentially to HR or through the whistleblower channel.,HR | whistleblower channel | confidentially,An employee can confidentially report harassment through HR or via the whistleblower channel.,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,0,,0,0,0,0,0.0,0.72,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context and expected response without adding or omitting key information.,,0.8662,5519,7615.15,368b9e2b6e36a2bc
EN-040,ollama,qwen3-custom:latest,EN,True,What must happen before a personal device is used for work email?,The personal device must be enrolled in the mobile device management or MDM system.,enrolled | MDM | mobile device management,The personal device must be enrolled in the mobile device management (MDM) system.,Policy_BYOD.docx,Policy_BYOD.docx,Policy_BYOD.docx,0,,0,0,0,0,0.0,0.963,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer matches retrieved context exactly, directly addressing the question with supported evidence.",,0.9038,5679,7776.68,3a8f05541a2c067e
EN-041,ollama,qwen3-custom:latest,EN,True,How must a potential conflict of interest be disclosed?,A potential conflict of interest must be disclosed to HR in writing.,HR | in writing | conflict of interest,A potential conflict of interest must be disclosed to HR in writing.,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,0,,0,0,0,0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or missing information.,,0.885,6998,9063.67,3f2f3a89432462af
EN-042,ollama,qwen3-custom:latest,EN,True,"How quickly must a suspected data breach be reported, and to which address?",A suspected data breach must be reported within one hour to security@nusantaradynamics.co.id.,within 1 hour | security@nusantaradynamics.co.id,A suspected data breach must be reported within 1 hour to security@nusantaradynamics.co.id.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context's factual claim about reporting timeframe and email address.,,0.9206,5464,7564.09,a750123b6a9ed054
EN-043,ollama,qwen3-custom:latest,EN,True,What are the four information-classification levels?,"The four levels are Public, Internal, Confidential, and Restricted.",Public | Internal | Confidential | Restricted,"Public, Internal, Confidential, and Restricted.",Policy_Information_Classification.docx,Policy_Information_Classification.docx,Policy_Information_Classification.docx,0,,0,0,0,0,0.0,0.7143,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly.,,0.8579,5264,7338.33,fcaa82b43afa0876
EN-044,ollama,qwen3-custom:latest,EN,True,"What are the password length, complexity, and rotation requirements?","Passwords must be at least 12 characters, include uppercase and lowercase letters, a number, and a symbol, and be changed every 90 days.",12 characters | upper case | lower case | number | symbol | 90 days,Password length must be at least 12 characters. include upper case. lower case. a number. a symbol.,Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,0,0,0,0,0.0,0.6842,0.8333,5.0,1.0,1.0,1.0,1.0,0.0,0,Answer correctly reflects context but omits rotation requirement not present in provided evidence.,,0.7622,11253,13307.36,e7e5da1c25f8b2d3
EN-045,ollama,qwen3-custom:latest,EN,True,Who approves a purchase valued between IDR 10 million and IDR 50 million?,A department head approves purchases valued from IDR 10 million to IDR 50 million.,department head | IDR 10-50 million,"Purchases up to IDR 10,000,000 require manager approval. Purchases above IDR 50,000,000 require Director approval and three vendor quotations.",Policy_Procurement_Threshold.docx,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.2424,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0,Answer only repeats context about IDR 10M and IDR 50M thresholds but fails to address the specific IDR 10M-50M approval authority.,,0.7287,10424,12507.52,a7f9bf6c6b3c6c57
EN-046,ollama,qwen3-custom:latest,EN,False,What is the direct password-reset URL?,The indexed documents do not provide a direct password-reset URL; they only instruct employees to raise an IT Helpdesk ticket through the portal.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,5.0,1.0,1.0,,1.0,1.0,0,"No context provided, system correctly refuses without inventing facts.",,0.0,3264,5344.69,4f53cda18c2baa0c
EN-047,ollama,qwen3-custom:latest,EN,False,What is the full street address of the company headquarters?,The company headquarters address is not available in the indexed documents.,,Encryption All company laptops must use full-disk encryption.,,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,Answer provides unrelated encryption policy fact instead of addressing the unanswerable address question.,,0.5676,8068,10164.86,f67a3159f4c3ee94
EN-048,ollama,qwen3-custom:latest,EN,False,How often is a full disaster-recovery failover exercise conducted?,The indexed documents do not state a schedule for a full disaster-recovery failover exercise.,,Nightly.,,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,1,Confuses full backups with failover exercises; context does not mention failover schedules.,,0.7723,4673,6781.57,88b8dd58b60426aa
EN-049,ollama,qwen3-custom:latest,EN,False,What is the maximum permitted email attachment size?,The maximum email attachment size is not stated in the indexed documents.,,Nusantara Dynamics Email and Calendar FAQ ====================== ## Mailbox Size Q: What is my mailbox size limit?,,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,maximum 25 words,,0.9,7759,9831.49,69130efc1b29da42
EN-050,ollama,qwen3-custom:latest,EN,False,What is the maximum file-upload size in the customer portal?,The indexed documents do not specify a maximum file-upload size for the customer portal.,,Nusantara Dynamics Email and Calendar FAQ ====================== ## Mailbox Size Q: What is my mailbox size limit?,,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,maximum 25 words,,0.9,8179,10281.87,69130efc1b29da42
ID-001,ollama,qwen3-custom:latest,ID,True,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,Ajukan tiket ke IT Helpdesk melalui portal. Reset diproses dalam waktu 1x24 jam.,IT Helpdesk | portal | 1x24 jam,Cara mereset kata sandi adalah dengan mengajukan tiket ke IT Helpdesk melalui portal. Proses reset akan selesai dalam 1x24 jam.,FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.6061,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with correct steps and timing.,,0.7907,11337,13424.69,b4b629a0ccf92376
ID-002,ollama,qwen3-custom:latest,ID,True,Berapa tunjangan satu kali untuk perlengkapan kerja dari rumah?,Tunjangan satu kali untuk home office adalah IDR 1.500.000.,IDR 1.500.000 | tunjangan kerja dari rumah,Up to 2 days per week with manager approval. ## Equipment Q: Will the company provide home equipment?,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,0,0,0,0,0.0,0.0769,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0,"Context does not mention the specific allowance amount, so answer is not provided.",,0.7496,10098,12163.47,33b075d9627857aa
ID-003,ollama,qwen3-custom:latest,ID,True,Berapa maksimum sisa cuti tahunan yang boleh dibawa ke tahun berikutnya?,Maksimum enam hari cuti yang tidak terpakai dapat dibawa ke tahun berikutnya.,6 hari | cuti terbawa | tahun berikutnya,Carryover A maximum of 6 unused leave days may be carried over to the next year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,0,0,0,0,0.0,0.0714,0.3333,5.0,5.0,1.0,1.0,1.0,0.0,0,"The system answer correctly states the maximum 6 unused leave days can be carried over, supported by the context.",,0.8694,9336,11419.07,745410f1036ad9a1
ID-004,ollama,qwen3-custom:latest,ID,True,Pada jam berapa pekerja remote wajib tersedia selama core hours?,Pekerja remote wajib tersedia pada pukul 10.00 sampai 16.00 WIB.,10:00-16:00 WIB | jam kerja inti,Pekerja remote wajib tersedia selama core hours pukul 10:00 sampai 16:00 WIB.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,0,0,0,0,0.0,0.8182,0.5,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches context's core hours timeframe with correct WIB time format.,,0.9268,7059,9146.82,eecbe305389c8ab8
