ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-020,gemini,gemini-2.0-flash,EN,True,What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,RTO 4 hours | RPO 1 hour,Nusantara Dynamics Disaster Recovery Plan ====================== ## RTO_RPO The recovery time objective (RTO) is 4 hours and the recovery point objective (RPO) is 1 hour. ## DR Site The disaster recovery site is in a separate availability zone.,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,0,,0,0,0,0,0.0,0.4,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,System answer directly quotes context with exact RTO/RPO values and no added information,,0.8027,5988,8064.7,cf982f6703d73605
EN-021,gemini,gemini-2.0-flash,EN,True,What is the API availability SLO?,99.9% per month.,99.9% | monthly | API availability SLO,Alerts route to the on-call engineer via PagerDuty. ## SLO The API availability SLO is 99.9% per month.,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,0,,0,0,0,0,0.0,0.2857,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly quotes context's exact SLO value of 99.9% per month.,,0.9,5747,7853.26,9b65c7e5d8a65c5a
EN-022,gemini,gemini-2.0-flash,EN,True,How long are audit logs retained?,7 years.,7 years | audit logs,Audit logs are retained for 7 years. ## Customer Data Customer data is deleted 90 days after contract termination unless legally required otherwise.,TECH_Data_Retention.txt,TECH_Data_Retention.txt,TECH_Data_Retention.txt,0,,0,0,0,0,0.0,0.1667,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly.,,0.9876,5541,7626.3,e56959d592a69ee6
EN-023,gemini,gemini-2.0-flash,EN,True,What unit-test coverage is required to merge code?,At least 80%.,80% | unit-test coverage | merge,A merge to main triggers an automatic staging deployment. ## Gates A minimum of 80% unit-test coverage is required to merge.,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,0,,0,0,0,0,0.0,0.0833,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly quotes the required 80% coverage from the context without adding or omitting information.,,0.8858,5936,8010.01,61e2dbaae86b1dde
EN-024,gemini,gemini-2.0-flash,EN,True,How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,IT Helpdesk | portal | 1x24 hours,Raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours.,FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.9333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context and expected behavior with no added or unsupported information.,,0.9949,6012,8119.36,c01d627956dd6259
EN-025,gemini,gemini-2.0-flash,EN,True,When is payday?,The 25th of each month (prior working day if a holiday).,25th | payday | prior working day,"Salaries are paid on the 25th of each month. If the 25th is a holiday, payment is the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.6875,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer directly matches the context, confirming payday is the 25th of each month with holiday adjustment.",,0.96,6031,8116.31,969950e9cf2d19de
EN-026,gemini,gemini-2.0-flash,EN,True,What is the mailbox size limit?,50 GB.,50 GB | mailbox quota,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,0.0,0.4444,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly quotes the context's exact statement about the 50 GB mailbox quota.,,0.9,6643,8712.43,829c81bc6a8aa970
EN-027,gemini,gemini-2.0-flash,EN,True,What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",valid ID | NPWP | bank account details,"A valid ID, your tax ID (NPWP), and bank account details.",FAQ_Onboarding.txt,FAQ_Onboarding.txt,FAQ_Onboarding.txt,0,,0,0,0,0,0.0,0.9524,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer matches the retrieved context exactly.,,0.9863,6099,8174.1,c6371f75ee7cd742
EN-028,gemini,gemini-2.0-flash,EN,True,Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.","IDR 1,500,000 | home-office allowance","A one-time home-office allowance of IDR 1,500,000 is available.",FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,0,0,0,0,0.0,0.7368,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context about the home-office allowance amount.,,0.9268,6176,8272.64,0d8a11b18fed6e81
EN-029,gemini,gemini-2.0-flash,EN,True,What is the replacement fee for an access card?,"IDR 50,000.","IDR 50,000 | replacement access card","Request one at the front desk; a replacement fee of IDR 50,000 applies.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.2667,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly states the replacement fee from the context.,,0.9,5984,8093.84,2ff04c2ba0ea1367
EN-030,gemini,gemini-2.0-flash,EN,True,How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",18 new customers | 214 total | Q3 2025,"Customers The company added 18 new enterprise customers in Q3 2025, bringing the total to 214. Churn Customer churn in Q3 2025 was 2.1%, down from 2.8% in Q2.",Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.3429,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or altered information.,,0.9812,5847,7961.43,73d635a3b8520d7b
EN-031,gemini,gemini-2.0-flash,EN,True,How many dependents are covered by the company health insurance plan?,The company health insurance plan covers employees and up to three dependents.,up to 3 dependents | health insurance,Employees and up to 3 dependents are covered by the company health insurance plan. ## Pension Q: Is there a pension benefit? A: The company contributes to BPJS Ketenagakerjaan for all employees.,FAQ_Benefits.txt,FAQ_Benefits.txt,FAQ_Benefits.txt,0,,0,0,0,0,0.0,0.5116,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer correctly states 3 dependents covered, matches context exactly.",,0.9834,6635,8725.0,c6f25911ed0ef96f
EN-032,gemini,gemini-2.0-flash,EN,True,What is the standard employee mailbox quota?,The standard mailbox quota is 50 GB.,50 GB | mailbox quota,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no unsupported claims.,,0.9,6290,8377.34,829c81bc6a8aa970
EN-033,gemini,gemini-2.0-flash,EN,True,How much does a replacement employee access card cost?,"A replacement access card costs IDR 50,000.","IDR 50,000 | replacement access card","Request one at the front desk; a replacement fee of IDR 50,000 applies.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.4,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,System answer correctly states the replacement fee matches the context.,,0.8679,6464,8550.22,2ff04c2ba0ea1367
EN-034,gemini,gemini-2.0-flash,EN,True,Where and when can employees find their payslips?,Payslips are available after the 25th in the HR portal under My Documents.,HR portal | My Documents | after the 25th,Payslips are available in the HR portal under My Documents after the 25th.,FAQ_HR.txt,FAQ_HR.txt,FAQ_HR.txt,0,,0,0,0,0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context with no added or modified information.,,0.7782,6156,8239.92,70dbdb26de7bd0f2
EN-035,gemini,gemini-2.0-flash,EN,True,What documents or details should a new employee bring on the first day?,"A new employee should bring a valid ID, a tax ID or NPWP, and bank account details.",valid ID | NPWP | bank account details,The requested information was not found with sufficient evidence in the indexed documents.,FAQ_Onboarding.txt,,,1,Answerable question returned no generation contexts. Verify that the source document is indexed.,1,1,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,Answerable question returned no generation contexts. Verify that the source document is indexed.,GENERATION_FAILED,0.0,3199,5255.76,4f53cda18c2baa0c
EN-036,gemini,gemini-2.0-flash,EN,True,When is salary paid if the 25th falls on a holiday?,Salary is paid on the prior working day when the 25th is a holiday.,prior working day | 25th | holiday,Approved overtime is paid in the following month's payroll.,FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.25,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,0,"Answer only addresses overtime payment, not salary on 25th holiday",,0.8371,6142,8219.1,3c2942574fc51dd5
EN-037,gemini,gemini-2.0-flash,EN,True,What should an employee do after receiving a suspicious email?,The employee should not click any links and should report the email using the Report Phishing button.,do not click links | Report Phishing button,Do not click links; report it using the Report Phishing button.,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,0,,0,0,0,0,0.0,0.6429,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer matches the context exactly and directly addresses the question.,,0.7845,6112,8187.27,876a9827e5506b58
EN-038,gemini,gemini-2.0-flash,EN,True,Who approves an employee request for access to a software tool?,The system owner approves the software access request submitted through the IT Service Desk.,system owner | IT Service Desk | approves,Request it via the IT Service Desk; the system owner approves.,FAQ_Software_Access.txt,FAQ_Software_Access.txt,FAQ_Software_Access.txt,0,,0,0,0,0,0.0,0.72,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches retrieved context and expected behavior without added claims.,,0.9786,5976,8065.52,9b3e99c47bcf0dfc
EN-039,gemini,gemini-2.0-flash,EN,True,Through which channels can an employee confidentially report harassment?,Harassment can be reported confidentially to HR or through the whistleblower channel.,HR | whistleblower channel | confidentially,Reporting Complaints can be raised confidentially to HR or via the whistleblower channel.,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,0,,0,0,0,0,0.0,0.72,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches retrieved context without adding unsupported details.,,0.8662,5886,8058.5,368b9e2b6e36a2bc
EN-040,gemini,gemini-2.0-flash,EN,True,What must happen before a personal device is used for work email?,The personal device must be enrolled in the mobile device management or MDM system.,enrolled | MDM | mobile device management,Enrollment Personal devices used for work email must be enrolled in the mobile device management (MDM) system.,Policy_BYOD.docx,Policy_BYOD.docx,Policy_BYOD.docx,0,,0,0,0,0,0.0,0.7097,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with correct MDM enrollment requirement.,,0.9038,5538,7624.92,3a8f05541a2c067e
EN-041,gemini,gemini-2.0-flash,EN,True,How must a potential conflict of interest be disclosed?,A potential conflict of interest must be disclosed to HR in writing.,HR | in writing | conflict of interest,Conflict of Interest Any potential conflict of interest must be disclosed to HR in writing.,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,0,,0,0,0,0,0.0,0.8148,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context's required disclosure procedure to HR in writing.,,0.885,6187,8309.12,3f2f3a89432462af
EN-042,gemini,gemini-2.0-flash,EN,True,"How quickly must a suspected data breach be reported, and to which address?",A suspected data breach must be reported within one hour to security@nusantaradynamics.co.id.,within 1 hour | security@nusantaradynamics.co.id,Reporting Suspected data breaches must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,0.0,0.8667,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context's 1-hour requirement and correct email address.,,0.9206,5670,7778.53,a750123b6a9ed054
EN-043,gemini,gemini-2.0-flash,EN,True,What are the four information-classification levels?,"The four levels are Public, Internal, Confidential, and Restricted.",Public | Internal | Confidential | Restricted,"Levels Information is classified as Public, Internal, Confidential, or Restricted.",Policy_Information_Classification.docx,Policy_Information_Classification.docx,Policy_Information_Classification.docx,0,,0,0,0,0,0.0,0.5263,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches retrieved context with exact four classification levels.,,0.8579,6570,8664.52,fcaa82b43afa0876
EN-044,gemini,gemini-2.0-flash,EN,True,"What are the password length, complexity, and rotation requirements?","Passwords must be at least 12 characters, include uppercase and lowercase letters, a number, and a symbol, and be changed every 90 days.",12 characters | upper case | lower case | number | symbol | 90 days,"Length Passwords must be at least 12 characters and include upper case, lower case, a number, and a symbol.",Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,0,0,0,0,0.0,0.8,0.8333,1.0,1.0,1.0,1.0,1.0,0.0,0,"System answer omitted 90-day rotation requirement not present in context, but correctly included length/complexity from context.",,0.7622,6142,8225.92,e7e5da1c25f8b2d3
EN-045,gemini,gemini-2.0-flash,EN,True,Who approves a purchase valued between IDR 10 million and IDR 50 million?,A department head approves purchases valued from IDR 10 million to IDR 50 million.,department head | IDR 10-50 million,"Nusantara Dynamics SOP - Procurement Thresholds Purchases up to IDR 10,000,000 require manager approval. Purchases above IDR 50,000,000 require Director approval and three vendor quotations.",Policy_Procurement_Threshold.docx,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.2105,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0,"Context only specifies manager approval for <10M and Director for >50M, no mention of department heads for 10-50M range.",,0.7287,5781,7862.22,a7f9bf6c6b3c6c57
EN-046,gemini,gemini-2.0-flash,EN,False,What is the direct password-reset URL?,The indexed documents do not provide a direct password-reset URL; they only instruct employees to raise an IT Helpdesk ticket through the portal.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,5.0,1.0,1.0,,1.0,1.0,0,"No context provided, system correctly refuses without inventing facts.",,0.0,3025,5095.81,4f53cda18c2baa0c
EN-047,gemini,gemini-2.0-flash,EN,False,What is the full street address of the company headquarters?,The company headquarters address is not available in the indexed documents.,,Encryption All company laptops must use full-disk encryption.,,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,Answer provides unrelated encryption policy fact instead of addressing the unanswerable address question.,,0.5676,6386,8473.28,f67a3159f4c3ee94
EN-048,gemini,gemini-2.0-flash,EN,False,How often is a full disaster-recovery failover exercise conducted?,The indexed documents do not state a schedule for a full disaster-recovery failover exercise.,,Full backups run nightly at 01:00 WIB.,,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,"Answer refers to backups, not failover exercises. Question is unanswerable from context.",,0.7723,6152,8252.26,88b8dd58b60426aa
EN-049,gemini,gemini-2.0-flash,EN,False,What is the maximum permitted email attachment size?,The maximum email attachment size is not stated in the indexed documents.,,Nusantara Dynamics Email and Calendar FAQ ====================== ## Mailbox Size Q: What is my mailbox size limit?,,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,maximum 25 words,,0.9,6290,8398.65,69130efc1b29da42
EN-050,gemini,gemini-2.0-flash,EN,False,What is the maximum file-upload size in the customer portal?,The indexed documents do not specify a maximum file-upload size for the customer portal.,,Nusantara Dynamics Email and Calendar FAQ ====================== ## Mailbox Size Q: What is my mailbox size limit?,,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,,,,1.0,1.0,0.0,,0.0,0.0,0,maximum 25 words,,0.9,5963,8056.14,69130efc1b29da42
ID-001,gemini,gemini-2.0-flash,ID,True,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,Ajukan tiket ke IT Helpdesk melalui portal. Reset diproses dalam waktu 1x24 jam.,IT Helpdesk | portal | 1x24 jam,Raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours. ## New Laptop Q: How do I request a new laptop?,FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.2051,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or removed information.,,0.7907,5610,7714.68,b4b629a0ccf92376
