ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-011,ollama,qwen3-custom:latest,EN,True,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",12 characters | upper lower number symbol | 90 days,The requested information was not found with sufficient evidence in the indexed documents.,Policy_Password.docx,,,1,Answerable question returned no generation contexts. Verify that the source document is indexed.,1,1,0,0,0.0,0.0741,0.0,,,0.0,0.0,0.0,5,0.2,1.0,1.0,1.0,1.0,1,9721.06,1.0,,Answerable question returned no generation contexts. Verify that the source document is indexed.,GENERATION_FAILED,0.0,3673,5757.48,4f53cda18c2baa0c
EN-012,ollama,qwen3-custom:latest,EN,True,What is the domestic meal per diem?,"IDR 250,000 per day.","IDR 250,000 | per day | meal per diem","The domestic meal per diem is IDR 250,000 per day.",Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,0,,0,0,0,0,0.0,0.5714,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9588.12,0.0,,,SKIPPED,0.9211,2707,4751.08,42b68bccebe578fa
EN-013,ollama,qwen3-custom:latest,EN,True,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",IDR 42.5 billion | 12% | Q3 2025,Q3 2025 revenue was IDR 42.5 billion.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.5333,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,8422.08,0.0,,,SKIPPED,0.9161,8224,10268.98,8d643bcde2935316
EN-014,ollama,qwen3-custom:latest,EN,True,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,expired TLS certificate | API gateway,The root cause of the October 2025 outage was an expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,0,,0,0,0,0,0.0,0.64,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9908.67,0.0,,,SKIPPED,0.7017,8880,10957.78,f696eb004287d0fd
EN-015,ollama,qwen3-custom:latest,EN,True,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",87% | 83% | CSAT 2025,The 2025 overall CSAT score was 87%.,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,0,,0,0,0,0,0.0,0.1538,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9086.84,0.0,,,SKIPPED,0.9221,2889,4940.5,5568ea8523f14966
EN-016,ollama,qwen3-custom:latest,EN,True,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",3 incidents | no data loss | 2025,There were 3 reportable security incidents in 2025. None of these incidents resulted in data loss.,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,0,,0,0,0,0,0.0,0.4545,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,8612.79,0.0,,,SKIPPED,0.8805,17002,19041.34,6f7b0ffcd1393c63
EN-017,ollama,qwen3-custom:latest,EN,True,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",IDR 158 billion | 14% | net profit margin,Full-year 2025 revenue was IDR 158 billion.,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,0,,0,0,0,0,0.0,0.3529,0.3333,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,8292.25,0.0,,,SKIPPED,0.9154,9559,11590.61,3b5fafbea60f76b6
EN-018,ollama,qwen3-custom:latest,EN,True,What database does the platform use?,"PostgreSQL 15, with Redis for caching.",PostgreSQL 15 | Redis | caching,"The platform uses PostgreSQL 15 as its primary database. Redis is used for caching, but the question specifically asks about the database, so the answer is PostgreSQL 15.",TECH_System_Architecture.txt,TECH_System_Architecture.txt,TECH_System_Architecture.txt,0,,0,0,0,0,0.0,0.2941,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,8736.64,0.0,,,SKIPPED,0.8259,5264,7291.53,74f3c20a212f51bd
EN-019,ollama,qwen3-custom:latest,EN,True,How long are internal API tokens valid?,60 minutes.,60 minutes | API token,Internal API tokens are valid for 60 minutes.,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,0,,0,0,0,0,0.0,0.4,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9866.43,0.0,,,SKIPPED,0.8564,15858,17929.42,a2397461ae72a28d
EN-020,ollama,qwen3-custom:latest,EN,True,What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,RTO 4 hours | RPO 1 hour,The recovery time objective (RTO) is 4 hours and the recovery point objective (RPO) is 1 hour.,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,0,,0,0,0,0,0.0,0.6923,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10435.36,0.0,,,SKIPPED,0.9264,10783,12836.91,cf982f6703d73605
EN-021,ollama,qwen3-custom:latest,EN,True,What is the API availability SLO?,99.9% per month.,99.9% | month,The API availability SLO is 99.9% per month.,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,0,,0,0,0,0,0.0,0.5455,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9948.65,0.0,,,SKIPPED,0.9129,2966,4994.63,9ad336bbe2f3bea9
EN-022,ollama,qwen3-custom:latest,EN,True,How long are audit logs retained?,7 years.,7 years | audit logs,The requested information was not found with sufficient evidence in the indexed documents.,TECH_Data_Retention.txt,,,1,Answerable question returned no generation contexts. Verify that the source document is indexed.,1,1,0,0,0.0,0.0,0.5,,,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,,0,5925.27,1.0,,Answerable question returned no generation contexts. Verify that the source document is indexed.,GENERATION_FAILED,0.0,0,2092.52,4f53cda18c2baa0c
EN-023,ollama,qwen3-custom:latest,EN,True,What unit-test coverage is required to merge code?,At least 80%.,80% | unit-test coverage | merge,A minimum of 80% unit-test coverage is required to merge. This requirement is explicitly stated in the CI/CD Pipeline Documentation.,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,0,,0,0,0,0,0.0,0.08,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10625.56,0.0,,,SKIPPED,0.9092,10061,12120.51,174029824249b250
EN-024,ollama,qwen3-custom:latest,EN,True,How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,IT Helpdesk | portal | 1x24 hours,"To reset your password, raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours.",FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.8235,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10276.6,0.0,,,SKIPPED,0.9109,10517,12561.72,c01d627956dd6259
EN-025,ollama,qwen3-custom:latest,EN,True,When is payday?,The 25th of each month (prior working day if a holiday).,25th | payday | prior working day,"Payday is on the 25th of each month. If the 25th is a holiday, payment is made on the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.6667,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9835.06,0.0,,,SKIPPED,0.9125,4087,6117.11,969950e9cf2d19de
EN-026,ollama,qwen3-custom:latest,EN,True,What is the mailbox size limit?,50 GB.,50 GB,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,0.0,0.4444,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10685.68,0.0,,,SKIPPED,0.9123,17081,19125.2,829c81bc6a8aa970
EN-027,ollama,qwen3-custom:latest,EN,True,What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",valid ID | NPWP | bank account details,"A valid ID, your tax ID (NPWP), and bank account details.",FAQ_Onboarding.txt,FAQ_Onboarding.txt,FAQ_Onboarding.txt,0,,0,0,0,0,0.0,0.9524,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9955.24,0.0,,,SKIPPED,0.9033,2774,4817.83,c6371f75ee7cd742
EN-028,ollama,qwen3-custom:latest,EN,True,Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.","IDR 1,500,000 | home-office allowance","Yes, there is a home-office allowance. The allowance is a one-time payment of IDR 1,500,000.",FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,0,0,0,0,0.0,0.64,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10539.73,0.0,,,SKIPPED,0.8578,4010,6065.82,0d8a11b18fed6e81
EN-029,ollama,qwen3-custom:latest,EN,True,What is the replacement fee for an access card?,"IDR 50,000.","IDR 50,000 | replacement access card","The replacement fee for an access card is IDR 50,000. This fee applies when requesting a replacement at the front desk.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.1739,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,13066.0,0.0,,,SKIPPED,0.9094,3610,5672.13,2ff04c2ba0ea1367
EN-030,ollama,qwen3-custom:latest,EN,True,How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",18 new customers | 214 total | Q3 2025,The company added 18 new enterprise customers in Q3 2025. This is explicitly stated in the report.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.1739,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10101.21,0.0,,,SKIPPED,0.8853,8732,10791.93,8d643bcde2935316
EN-031,ollama,qwen3-custom:latest,EN,True,How many dependents are covered by the company health insurance plan?,The company health insurance plan covers employees and up to three dependents.,up to 3 dependents | health insurance,The company health insurance plan covers up to 3 dependents.,FAQ_Benefits.txt,FAQ_Benefits.txt,FAQ_Benefits.txt,0,,0,0,0,0,0.0,0.9091,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,11262.1,0.0,,,SKIPPED,0.8818,2852,4915.16,c6f25911ed0ef96f
EN-032,ollama,qwen3-custom:latest,EN,True,What is the standard employee mailbox quota?,The standard mailbox quota is 50 GB.,50 GB | mailbox quota,The standard employee mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,0,0,0,0,0.0,0.9333,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10499.3,0.0,,,SKIPPED,0.8798,2426,4493.93,829c81bc6a8aa970
EN-033,ollama,qwen3-custom:latest,EN,True,How much does a replacement employee access card cost?,"A replacement access card costs IDR 50,000.","IDR 50,000 | replacement access card","The replacement employee access card costs IDR 50,000. The fee applies when requesting a replacement at the front desk.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,0,0,0,0,0.0,0.5385,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10605.09,0.0,,,SKIPPED,0.8124,3763,5824.14,2ff04c2ba0ea1367
EN-034,ollama,qwen3-custom:latest,EN,True,Where and when can employees find their payslips?,Payslips are available after the 25th in the HR portal under My Documents.,HR portal | My Documents | after the 25th,"Employees can find their payslips in the HR portal under My Documents after the 25th. The exact date is not specified, but access is available following the 25th of the month.",FAQ_HR.txt,FAQ_HR.txt,FAQ_HR.txt,0,,1,1,0,0,0.0,0.5455,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10052.81,0.0,,,SKIPPED,0.7984,5033,7080.12,70dbdb26de7bd0f2
EN-035,ollama,qwen3-custom:latest,EN,True,What documents or details should a new employee bring on the first day?,"A new employee should bring a valid ID, a tax ID or NPWP, and bank account details.",valid ID | NPWP | bank account details,"New employees should bring their tax ID (NPWP) and bank details on the first day, as these are required for vendor onboarding before the first purchase order can be issued. This information is necessary for new vendors to submit prior to any procurement activities.",FAQ_Onboarding.txt,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.2951,0.3333,,,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,,1,11133.95,0.0,,,SKIPPED,0.5783,19128,21188.36,e0ec791959012594
EN-036,ollama,qwen3-custom:latest,EN,True,When is salary paid if the 25th falls on a holiday?,Salary is paid on the prior working day when the 25th is a holiday.,prior working day | 25th | holiday,"If the 25th falls on a holiday, salary is paid on the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,0,0,0,0,0.0,0.8276,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,13918.14,0.0,,,SKIPPED,0.8501,3551,5613.39,3c2942574fc51dd5
EN-037,ollama,qwen3-custom:latest,EN,True,What should an employee do after receiving a suspicious email?,The employee should not click any links and should report the email using the Report Phishing button.,do not click links | Report Phishing button,The employee should not click links and should report it using the Report Phishing button.,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,0,,0,0,0,0,0.0,0.875,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,13286.71,0.0,,,SKIPPED,0.8396,3006,5083.88,876a9827e5506b58
EN-038,ollama,qwen3-custom:latest,EN,True,Who approves an employee request for access to a software tool?,The system owner approves the software access request submitted through the IT Service Desk.,system owner | IT Service Desk | approves,The system owner approves an employee request for access to a software tool. The request must be submitted via the IT Service Desk.,FAQ_Software_Access.txt,FAQ_Software_Access.txt,FAQ_Software_Access.txt,0,,0,0,0,0,0.0,0.7027,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,11216.82,0.0,,,SKIPPED,0.6882,15719,17773.25,9b3e99c47bcf0dfc
EN-039,ollama,qwen3-custom:latest,EN,True,Through which channels can an employee confidentially report harassment?,Harassment can be reported confidentially to HR or through the whistleblower channel.,HR | whistleblower channel | confidentially,An employee can confidentially report harassment by raising the complaint to HR or via the whistleblower channel.,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,0,,0,0,0,0,0.0,0.6207,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10327.46,0.0,,,SKIPPED,0.3383,9581,11632.78,ed91d62005f1c921
EN-040,ollama,qwen3-custom:latest,EN,True,What must happen before a personal device is used for work email?,The personal device must be enrolled in the mobile device management or MDM system.,enrolled | MDM | mobile device management,The personal device must be enrolled in the mobile device management (MDM) system before it is used for work email.,Policy_BYOD.docx,Policy_BYOD.docx,Policy_BYOD.docx,0,,0,0,0,0,0.0,0.7647,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9713.42,0.0,,,SKIPPED,0.3357,10407,12443.08,6134ef870aa9bb42
EN-041,ollama,qwen3-custom:latest,EN,True,How must a potential conflict of interest be disclosed?,A potential conflict of interest must be disclosed to HR in writing.,HR | in writing | conflict of interest,A potential conflict of interest must be disclosed to HR in writing.,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,Policy_Code_of_Conduct.docx,0,,0,0,0,0,1.0,1.0,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10596.15,0.0,,,SKIPPED,0.9194,2754,4793.53,4d5f11a06d19d08a
EN-042,ollama,qwen3-custom:latest,EN,True,"How quickly must a suspected data breach be reported, and to which address?",A suspected data breach must be reported within one hour to security@nusantaradynamics.co.id.,within 1 hour | security@nusantaradynamics.co.id,A suspected data breach must be reported within 1 hour to security@nusantaradynamics.co.id.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,1.0,1.0,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,10202.6,0.0,,,SKIPPED,0.9133,3554,5648.26,e4ea2ff93a3a6c48
EN-043,ollama,qwen3-custom:latest,EN,True,What are the four information-classification levels?,"The four levels are Public, Internal, Confidential, and Restricted.",Public | Internal | Confidential | Restricted,The requested information was not found with sufficient evidence in the indexed documents.,Policy_Information_Classification.docx,,,1,Answerable question returned no generation contexts. Verify that the source document is indexed.,1,1,0,0,0.0,0.0909,0.0,,,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,,0,7205.11,1.0,,Answerable question returned no generation contexts. Verify that the source document is indexed.,GENERATION_FAILED,0.0,0,2039.34,4f53cda18c2baa0c
EN-044,ollama,qwen3-custom:latest,EN,True,"What are the password length, complexity, and rotation requirements?","Passwords must be at least 12 characters, include uppercase and lowercase letters, a number, and a symbol, and be changed every 90 days.",12 characters | upper case | lower case | number | symbol | 90 days,"The password length must be at least 12 characters and include upper case, lower case, a number, and a symbol. There is no mention of password rotation requirements in the provided evidence.",Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,0,0,0,0,0.0,0.566,0.8333,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,9910.28,0.0,,,SKIPPED,0.4967,5049,7087.81,f515759975f9f9d8
EN-045,ollama,qwen3-custom:latest,EN,True,Who approves a purchase valued between IDR 10 million and IDR 50 million?,A department head approves purchases valued from IDR 10 million to IDR 50 million.,department head | IDR 10-50 million,The purchase valued between IDR 10 million and IDR 50 million requires approval from the department head. This is explicitly stated in Policy_Procurement_Threshold.docx.,Policy_Procurement_Threshold.docx,SOP_Procurement.pdf | Policy_Procurement_Threshold.docx,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.5,1.0,,,0.5,1.0,0.0,5,0.2,1.0,1.0,0.5,2.0,1,9248.63,0.0,,,SKIPPED,0.6372,6715,8765.65,c872cb463779748d
EN-046,ollama,qwen3-custom:latest,EN,False,What is the direct password-reset URL?,The indexed documents do not provide a direct password-reset URL; they only instruct employees to raise an IT Helpdesk ticket through the portal.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,,,1.0,,1.0,5,,,,,,0,6368.99,1.0,,,SKIPPED,0.0,0,2042.18,4f53cda18c2baa0c
EN-047,ollama,qwen3-custom:latest,EN,False,What is the full street address of the company headquarters?,The company headquarters address is not available in the indexed documents.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,,,1.0,,1.0,5,,,,,,0,6261.84,1.0,,,SKIPPED,0.0,0,2040.04,4f53cda18c2baa0c
EN-048,ollama,qwen3-custom:latest,EN,False,How often is a full disaster-recovery failover exercise conducted?,The indexed documents do not state a schedule for a full disaster-recovery failover exercise.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,,,1.0,,1.0,5,,,,,,0,6316.67,1.0,,,SKIPPED,0.0,0,2065.23,4f53cda18c2baa0c
EN-049,ollama,qwen3-custom:latest,EN,False,What is the maximum permitted email attachment size?,The maximum email attachment size is not stated in the indexed documents.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,,,1.0,,1.0,5,,,,,,0,6254.45,1.0,,,SKIPPED,0.0,0,2055.67,4f53cda18c2baa0c
EN-050,ollama,qwen3-custom:latest,EN,False,What is the maximum file-upload size in the customer portal?,The indexed documents do not specify a maximum file-upload size for the customer portal.,,The requested information was not found with sufficient evidence in the indexed documents.,,,,0,,1,0,1,1,,,,,,1.0,,1.0,5,,,,,,0,6002.91,1.0,,,SKIPPED,0.0,0,2056.36,4f53cda18c2baa0c
ID-001,ollama,qwen3-custom:latest,ID,True,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,Ajukan tiket ke IT Helpdesk melalui portal. Reset diproses dalam waktu 1x24 jam.,IT Helpdesk | portal | 1x24 jam,Cara mereset kata sandi adalah dengan mengajukan tiket ke IT Helpdesk melalui portal. Proses reset kata sandi memakan waktu maksimal 24 jam.,FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,0,0,0,0,0.0,0.5143,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,18303.53,0.0,,,SKIPPED,0.8015,17814,19883.99,e71e7b350ab8b0df
ID-002,ollama,qwen3-custom:latest,ID,True,Berapa tunjangan satu kali untuk perlengkapan kerja dari rumah?,Tunjangan satu kali untuk home office adalah IDR 1.500.000.,IDR 1.500.000 | tunjangan kerja dari rumah,Tunjangan satu kali untuk perlengkapan kerja dari rumah adalah IDR 1.500.000.,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,0,0,0,0,0.0,0.7,1.0,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,16372.72,0.0,,,SKIPPED,0.7848,6208,8295.18,1e2fd9d683a6e7a8
