ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-011,ollama,qwen3-custom:latest,EN,True,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",12 characters | upper lower number symbol | 90 days,The requested information was not found with sufficient evidence in the indexed documents.,Policy_Password.docx,Policy_Password.docx,,1,answer_postprocessing,citation_validation_failed,generated_answer_has_no_valid_supporting_citation,citation_validation_failed,Backend did not return native model output. Inspect generation_mode and failure_stage.,1,evaluation_snapshot,What are the password requirements?,rag-bilingual-eval-v14-20260801,0,,1,1,0,0,0.0,0.0741,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5312.1,0.0,,Backend did not return native model output. Inspect generation_mode and failure_stage.,PIPELINE_FAILED,0.0,3292,3318.44,7c4db258488b2a1e
EN-012,ollama,qwen3-custom:latest,EN,True,What is the domestic meal per diem?,"IDR 250,000 per day.","IDR 250,000 | per day | meal per diem","The domestic meal per diem is IDR 250,000 per day.",Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,0,,,,native_model,,1,evaluation_snapshot,What is the domestic meal per diem?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.5714,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5400.2,0.0,,,SKIPPED,0.01,2781,2801.67,42b68bccebe578fa
EN-013,ollama,qwen3-custom:latest,EN,True,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",IDR 42.5 billion | 12% | Q3 2025,Q3 2025 revenue was IDR 42.5 billion.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,,,native_model,,1,evaluation_snapshot,What was Q3 2025 revenue?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.5333,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5145.0,0.0,,,SKIPPED,0.9104,4712,4734.32,8d643bcde2935316
EN-014,ollama,qwen3-custom:latest,EN,True,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,expired TLS certificate | API gateway,The root cause of the October 2025 outage was an expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,0,,,,native_model,,1,evaluation_snapshot,What was the root cause of the October 2025 outage?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.64,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5331.91,0.0,,,SKIPPED,0.7017,5341,5369.9,f696eb004287d0fd
EN-015,ollama,qwen3-custom:latest,EN,True,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",87% | 83% | CSAT 2025,The 2025 overall CSAT score was 87%.,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,0,,,,native_model,,1,evaluation_snapshot,What was the 2025 overall CSAT score?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.1538,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5024.15,0.0,,,SKIPPED,0.01,2651,2667.31,5568ea8523f14966
EN-016,ollama,qwen3-custom:latest,EN,True,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",3 incidents | no data loss | 2025,There were 3 reportable security incidents in 2025. None of these incidents resulted in data loss.,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,0,,,,native_model,,1,evaluation_snapshot,How many security incidents occurred in 2025?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.4545,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4905.69,0.0,,,SKIPPED,0.8658,8762,8781.99,6f7b0ffcd1393c63
EN-017,ollama,qwen3-custom:latest,EN,True,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",IDR 158 billion | 14% | net profit margin,Full-year 2025 revenue was IDR 158 billion.,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,0,,,,native_model,,1,evaluation_snapshot,What was full-year 2025 revenue?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.3529,0.3333,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4798.71,0.0,,,SKIPPED,0.9098,5364,5386.76,3b5fafbea60f76b6
EN-018,ollama,qwen3-custom:latest,EN,True,What database does the platform use?,"PostgreSQL 15, with Redis for caching.",PostgreSQL 15 | Redis | caching,"The platform uses PostgreSQL 15 as its primary database. Redis is used for caching, but the question specifically asks about the database, so the answer is PostgreSQL 15.",TECH_System_Architecture.txt,TECH_System_Architecture.txt,TECH_System_Architecture.txt,0,,,,native_model,,1,evaluation_snapshot,What database does the platform use?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.2941,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5399.72,0.0,,,SKIPPED,0.8088,4518,4522.3,74f3c20a212f51bd
EN-019,ollama,qwen3-custom:latest,EN,True,How long are internal API tokens valid?,60 minutes.,60 minutes | API token,Internal API tokens are valid for 60 minutes.,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,0,,,,native_model,,1,evaluation_snapshot,How long are internal API tokens valid?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.4,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5281.78,0.0,,,SKIPPED,0.837,7615,7637.15,a2397461ae72a28d
EN-020,ollama,qwen3-custom:latest,EN,True,What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,RTO 4 hours | RPO 1 hour,The recovery time objective (RTO) is 4 hours and the recovery point objective (RPO) is 1 hour.,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,0,,,,native_model,,1,evaluation_snapshot,What are the RTO and RPO?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.6923,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5704.98,0.0,,,SKIPPED,0.0101,6322,6353.07,cf982f6703d73605
EN-021,ollama,qwen3-custom:latest,EN,True,What is the API availability SLO?,99.9% per month.,99.9% | month,The API availability SLO is 99.9% per month.,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,0,,,,native_model,,1,evaluation_snapshot,What is the API availability SLO?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.5455,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5087.74,0.0,,,SKIPPED,0.9077,2664,2667.37,9ad336bbe2f3bea9
EN-022,ollama,qwen3-custom:latest,EN,True,How long are audit logs retained?,7 years.,7 years | audit logs,Audit logs are retained for 7 years.,TECH_Data_Retention.txt,TECH_Data_Retention.txt,TECH_Data_Retention.txt,0,,,,native_model,,1,evaluation_snapshot,How long are audit logs retained?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.4444,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4927.0,0.0,,,SKIPPED,0.8906,1994,2016.41,b722667f4078c87e
EN-023,ollama,qwen3-custom:latest,EN,True,What unit-test coverage is required to merge code?,At least 80%.,80% | unit-test coverage | merge,A minimum of 80% unit-test coverage is required to merge. This requirement is explicitly stated in the CI/CD Pipeline Documentation.,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,TECH_CICD_Pipeline.txt,0,,,,native_model,,1,evaluation_snapshot,What unit-test coverage is required to merge code?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.08,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5676.78,0.0,,,SKIPPED,0.9044,6608,6629.97,174029824249b250
EN-024,ollama,qwen3-custom:latest,EN,True,How do I reset my password?,Raise a ticket to the IT Helpdesk via the portal; processed within 1x24 hours.,IT Helpdesk | portal | 1x24 hours,"To reset your password, raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours.",FAQ_IT_Support.txt,FAQ_IT_Support.txt,FAQ_IT_Support.txt,0,,,,native_model,,1,evaluation_snapshot,How do I reset my password?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.8235,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5748.52,0.0,,,SKIPPED,0.9041,6717,6741.63,c01d627956dd6259
EN-025,ollama,qwen3-custom:latest,EN,True,When is payday?,The 25th of each month (prior working day if a holiday).,25th | payday | prior working day,"Payday is on the 25th of each month. If the 25th is a holiday, payment is made on the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,,,native_model,,1,evaluation_snapshot,When is payday?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.6667,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5624.02,0.0,,,SKIPPED,0.9073,3997,4013.73,969950e9cf2d19de
EN-026,ollama,qwen3-custom:latest,EN,True,What is the mailbox size limit?,50 GB.,50 GB,The standard mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,,,native_model,,1,evaluation_snapshot,What is the mailbox size limit?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.4444,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5635.04,0.0,,,SKIPPED,0.9071,8622,8627.9,829c81bc6a8aa970
EN-027,ollama,qwen3-custom:latest,EN,True,What should I bring on my first day?,"A valid ID, NPWP (tax ID), and bank account details.",valid ID | NPWP | bank account details,"A valid ID, your tax ID (NPWP), and bank account details.",FAQ_Onboarding.txt,FAQ_Onboarding.txt,FAQ_Onboarding.txt,0,,,,native_model,,1,evaluation_snapshot,What should I bring on my first day?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.9524,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5619.13,0.0,,,SKIPPED,0.8997,2759,2774.77,c6371f75ee7cd742
EN-028,ollama,qwen3-custom:latest,EN,True,Is there a home-office allowance?,"Yes, a one-time allowance of IDR 1,500,000.","IDR 1,500,000 | home-office allowance","Yes, there is a home-office allowance. The allowance is a one-time payment of IDR 1,500,000.",FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,FAQ_Remote_Work.txt,0,,,,native_model,,1,evaluation_snapshot,Is there a home-office allowance?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.64,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5502.16,0.0,,,SKIPPED,0.848,3894,3919.33,0d8a11b18fed6e81
EN-029,ollama,qwen3-custom:latest,EN,True,What is the replacement fee for an access card?,"IDR 50,000.","IDR 50,000 | replacement access card","The replacement fee for an access card is IDR 50,000. This fee applies when requesting a replacement at the front desk.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,,,native_model,,1,evaluation_snapshot,What is the replacement fee for an access card?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.1739,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5586.88,0.0,,,SKIPPED,0.9046,3747,3752.11,2ff04c2ba0ea1367
EN-030,ollama,qwen3-custom:latest,EN,True,How many new enterprise customers were added in Q3 2025?,"18, bringing the total to 214.",18 new customers | 214 total | Q3 2025,The company added 18 new enterprise customers in Q3 2025. This is explicitly stated in the report.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,,,native_model,,1,evaluation_snapshot,How many new enterprise customers were added in Q3 2025?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.1739,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5245.04,0.0,,,SKIPPED,0.8638,5764,5785.66,8d643bcde2935316
EN-031,ollama,qwen3-custom:latest,EN,True,How many dependents are covered by the company health insurance plan?,The company health insurance plan covers employees and up to three dependents.,up to 3 dependents | health insurance,The company health insurance plan covers up to 3 dependents.,FAQ_Benefits.txt,FAQ_Benefits.txt,FAQ_Benefits.txt,0,,,,native_model,,1,evaluation_snapshot,How many dependents are covered by the company health insurance plan?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.9091,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5709.73,0.0,,,SKIPPED,0.8617,2564,2582.83,c6f25911ed0ef96f
EN-032,ollama,qwen3-custom:latest,EN,True,What is the standard employee mailbox quota?,The standard mailbox quota is 50 GB.,50 GB | mailbox quota,The standard employee mailbox quota is 50 GB.,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,FAQ_Email_Calendar.txt,0,,,,native_model,,1,evaluation_snapshot,What is the standard employee mailbox quota?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.9333,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5707.81,0.0,,,SKIPPED,0.8606,2109,2136.57,829c81bc6a8aa970
EN-033,ollama,qwen3-custom:latest,EN,True,How much does a replacement employee access card cost?,"A replacement access card costs IDR 50,000.","IDR 50,000 | replacement access card","The replacement employee access card costs IDR 50,000. The fee applies when requesting a replacement at the front desk.",FAQ_Facilities.txt,FAQ_Facilities.txt,FAQ_Facilities.txt,0,,,,native_model,,1,evaluation_snapshot,How much does a replacement employee access card cost?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.5385,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5543.23,0.0,,,SKIPPED,0.5925,3411,3415.76,2ff04c2ba0ea1367
EN-034,ollama,qwen3-custom:latest,EN,True,Where and when can employees find their payslips?,Payslips are available after the 25th in the HR portal under My Documents.,HR portal | My Documents | after the 25th,"Employees can find their payslips in the HR portal under My Documents after the 25th. The exact date is not specified, but access is available following the 25th of the month.",FAQ_HR.txt,FAQ_HR.txt,FAQ_HR.txt,0,,,,native_model,,1,evaluation_snapshot,Where and when can employees find their payslips?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.5455,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5233.4,0.0,,,SKIPPED,0.7784,4746,4750.98,70dbdb26de7bd0f2
EN-035,ollama,qwen3-custom:latest,EN,True,What documents or details should a new employee bring on the first day?,"A new employee should bring a valid ID, a tax ID or NPWP, and bank account details.",valid ID | NPWP | bank account details,"A new employee should bring a valid ID, their tax ID (NPWP), and bank account details on the first day. These documents are explicitly required as per the provided evidence.",FAQ_Onboarding.txt,FAQ_Onboarding.txt,FAQ_Onboarding.txt,0,,,,native_model,,1,evaluation_snapshot,What documents or details should a new employee bring on the first day?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.6383,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5474.62,0.0,,,SKIPPED,0.733,4292,4308.65,c6371f75ee7cd742
EN-036,ollama,qwen3-custom:latest,EN,True,When is salary paid if the 25th falls on a holiday?,Salary is paid on the prior working day when the 25th is a holiday.,prior working day | 25th | holiday,"If the 25th falls on a holiday, salary is paid on the prior working day.",FAQ_Payroll.txt,FAQ_Payroll.txt,FAQ_Payroll.txt,0,,,,native_model,,1,evaluation_snapshot,When is salary paid if the 25th falls on a holiday?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.8276,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6106.61,0.0,,,SKIPPED,0.8269,2973,2994.23,3c2942574fc51dd5
EN-037,ollama,qwen3-custom:latest,EN,True,What should an employee do after receiving a suspicious email?,The employee should not click any links and should report the email using the Report Phishing button.,do not click links | Report Phishing button,The employee should not click links and should report it using the Report Phishing button.,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,FAQ_Security_Awareness.txt,0,,,,native_model,,1,evaluation_snapshot,What should an employee do after receiving a suspicious email?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.875,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5668.82,0.0,,,SKIPPED,0.8219,2834,2863.21,876a9827e5506b58
EN-038,ollama,qwen3-custom:latest,EN,True,Who approves an employee request for access to a software tool?,The system owner approves the software access request submitted through the IT Service Desk.,system owner | IT Service Desk | approves,The system owner approves an employee request for access to a software tool. The request must be submitted via the IT Service Desk.,FAQ_Software_Access.txt,FAQ_Software_Access.txt,FAQ_Software_Access.txt,0,,,,native_model,,1,evaluation_snapshot,Who approves an employee request for access to a software tool?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.7027,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5363.35,0.0,,,SKIPPED,0.6882,8200,8205.0,9b3e99c47bcf0dfc
EN-039,ollama,qwen3-custom:latest,EN,True,Through which channels can an employee confidentially report harassment?,Harassment can be reported confidentially to HR or through the whistleblower channel.,HR | whistleblower channel | confidentially,An employee can confidentially report harassment by raising the complaint to HR or via the whistleblower channel.,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,Policy_Anti_Harassment.docx,0,,,,native_model,,1,evaluation_snapshot,Through which channels can an employee confidentially report harassment?,rag-bilingual-eval-v14-20260801,0,,0,0,0,0,0.0,0.6207,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5616.44,0.0,,,SKIPPED,0.3383,5659,5683.66,ed91d62005f1c921
