question,expected_answer,source_document,answerable,expected_answer_keywords
Berapa banyak tanggungan yang dicakup oleh asuransi kesehatan perusahaan?,Asuransi kesehatan perusahaan mencakup karyawan dan hingga 3 orang tanggungan.,FAQ_Benefits.txt,TRUE,3 tanggungan | asuransi kesehatan
Apakah perusahaan memberikan manfaat pensiun bagi karyawan?,"Ya, perusahaan memberikan kontribusi ke BPJS Ketenagakerjaan untuk seluruh karyawan.",FAQ_Benefits.txt,TRUE,BPJS Ketenagakerjaan | pensiun
Berapa kuota ukuran mailbox standar untuk karyawan?,Kuota mailbox standar untuk karyawan adalah 50 GB.,FAQ_Email_Calendar.txt,TRUE,50 GB | kuota mailbox
Bagaimana cara membagikan kalender kepada rekan kerja?,Gunakan opsi calendar sharing dan berikan akses lihat (view access) kepada rekan kerja terkait.,FAQ_Email_Calendar.txt,TRUE,berbagi kalender | akses lihat
Berapa biaya penggantian kartu akses karyawan yang hilang?,"Biaya penggantian kartu akses adalah IDR 50.000, diajukan di meja resepsionis.",FAQ_Facilities.txt,TRUE,IDR 50.000 | penggantian kartu akses
Di mana lokasi parkir karyawan tersedia?,Parkir karyawan tersedia di Basement 2.,FAQ_Facilities.txt,TRUE,Basement 2 | parkir karyawan
Di mana karyawan dapat menemukan slip gaji mereka?,Slip gaji tersedia di HR portal pada bagian My Documents setelah tanggal 25.,FAQ_HR.txt,TRUE,HR portal | My Documents | setelah tanggal 25
Bagaimana cara memperbarui data rekening bank di sistem HR?,Ajukan perubahan melalui HR portal; perubahan berlaku mulai siklus payroll berikutnya.,FAQ_HR.txt,TRUE,HR portal | siklus payroll berikutnya
Bagaimana prosedur mengajukan permintaan laptop baru?,Ajukan permintaan melalui IT Service Desk dengan persetujuan manajer.,FAQ_IT_Support.txt,TRUE,IT Service Desk | persetujuan manajer
Apa saja yang harus dibawa karyawan baru pada hari pertama kerja?,"Karyawan baru harus membawa KTP yang masih berlaku, NPWP, dan detail rekening bank.",FAQ_Onboarding.txt,TRUE,KTP yang masih berlaku | NPWP | detail rekening bank
Berapa lama masa probation karyawan baru dan kapan evaluasinya?,Masa probation berlangsung 3 bulan dengan evaluasi kinerja formal pada minggu ke-12.,FAQ_Onboarding.txt,TRUE,3 bulan | minggu ke-12 | evaluasi
Pada tanggal berapa gaji karyawan dibayarkan setiap bulannya?,Gaji dibayarkan pada tanggal 25 setiap bulan.,FAQ_Payroll.txt,TRUE,tanggal 25 | hari gajian
Kapan lembur yang telah disetujui akan dibayarkan?,Lembur yang telah disetujui dibayarkan pada siklus payroll bulan berikutnya.,FAQ_Payroll.txt,TRUE,lembur | payroll bulan berikutnya
Berapa hari maksimal karyawan diperbolehkan bekerja dari rumah dalam seminggu?,Karyawan diperbolehkan bekerja dari rumah maksimal 2 hari per minggu dengan persetujuan manajer.,FAQ_Remote_Work.txt,TRUE,2 hari per minggu | persetujuan manajer
Apa yang harus dilakukan karyawan jika menerima email mencurigakan?,Karyawan tidak boleh mengklik tautan apa pun dan harus melaporkannya menggunakan tombol Report Phishing.,FAQ_Security_Awareness.txt,TRUE,jangan klik tautan | tombol Report Phishing
Apa yang harus dilakukan jika laptop kantor hilang?,Laporkan segera ke IT agar perangkat dapat dihapus datanya dari jarak jauh (remote wipe).,FAQ_Security_Awareness.txt,TRUE,laporkan ke IT | remote wipe
Siapa yang menyetujui permintaan akses ke sebuah aplikasi atau software?,Permintaan akses diajukan melalui IT Service Desk dan disetujui oleh pemilik sistem (system owner).,FAQ_Software_Access.txt,TRUE,IT Service Desk | pemilik sistem
Siapa yang menanggung biaya lisensi software untuk keperluan kerja?,Lisensi perangkat lunak bisnis yang telah disetujui ditanggung oleh anggaran IT.,FAQ_Software_Access.txt,TRUE,anggaran IT | lisensi software
Bagaimana sikap perusahaan terhadap tindakan pelecehan di tempat kerja?,"Perusahaan menerapkan kebijakan tanpa toleransi (zero tolerance) terhadap segala bentuk pelecehan, dan keluhan dapat dilaporkan secara rahasia ke HR atau melalui jalur whistleblower.",Policy_Anti_Harassment.docx,TRUE,tanpa toleransi | HR | jalur whistleblower
Apa syarat yang harus dipenuhi sebelum perangkat pribadi digunakan untuk email kantor?,Perangkat pribadi harus didaftarkan terlebih dahulu ke sistem mobile device management (MDM).,Policy_BYOD.docx,TRUE,MDM | manajemen perangkat mobile | terdaftar
Apakah perusahaan berhak menghapus data dari perangkat pribadi karyawan?,"Ya, perusahaan berhak melakukan remote wipe untuk menghapus data korporat dari perangkat yang telah terdaftar dalam MDM.",Policy_BYOD.docx,TRUE,remote wipe | data korporat | MDM
Bagaimana cara karyawan mengungkapkan potensi konflik kepentingan?,Potensi konflik kepentingan harus diungkapkan secara tertulis kepada HR.,Policy_Code_of_Conduct.docx,TRUE,HR | tertulis | konflik kepentingan
Apa saja aturan keamanan data pada laptop perusahaan?,"Seluruh laptop perusahaan wajib menggunakan enkripsi disk penuh (full-disk encryption), dan penggunaan penyimpanan USB pribadi pada laptop perusahaan dilarang.",Policy_Data_Security.docx,TRUE,enkripsi disk penuh | penyimpanan USB dilarang
Ada berapa level klasifikasi informasi di perusahaan dan apa saja?,"Terdapat empat level klasifikasi informasi, yaitu Public, Internal, Confidential, dan Restricted.",Policy_Information_Classification.docx,TRUE,Public | Internal | Confidential | Restricted
Apa aturan penanganan data dengan klasifikasi Restricted?,Data Restricted hanya boleh diakses melalui perangkat yang dikelola perusahaan dan tidak boleh dikirim melalui email eksternal.,Policy_Information_Classification.docx,TRUE,perangkat yang dikelola perusahaan | tidak boleh dikirim email eksternal
Berapa hari cuti tahunan yang diberikan kepada karyawan?,"Karyawan berhak atas 12 hari cuti tahunan per tahun, yang terakumulasi setiap bulan.",Policy_Leave.docx,TRUE,12 hari | cuti tahunan | terakumulasi setiap bulan
Kapan surat keterangan dokter diperlukan untuk cuti sakit?,Surat keterangan dokter diperlukan jika cuti sakit lebih dari 2 hari berturut-turut.,Policy_Leave.docx,TRUE,surat keterangan dokter | lebih dari 2 hari berturut-turut
Apa saja persyaratan panjang dan kompleksitas kata sandi perusahaan?,"Kata sandi harus terdiri dari minimal 12 karakter, mencakup huruf besar, huruf kecil, angka, dan simbol.",Policy_Password.docx,TRUE,12 karakter | huruf besar | huruf kecil | angka | simbol
Berapa lama siklus penggantian kata sandi dan apakah kata sandi lama boleh dipakai ulang?,"Kata sandi harus diganti setiap 90 hari, dan 5 kata sandi terakhir tidak boleh digunakan kembali.",Policy_Password.docx,TRUE,90 hari | 5 kata sandi terakhir tidak boleh dipakai ulang
Siapa yang menyetujui pembelian dengan nilai di bawah IDR 10.000.000?,Pembelian dengan nilai di bawah IDR 10.000.000 disetujui oleh manajer.,Policy_Procurement_Threshold.docx,TRUE,di bawah IDR 10.000.000 | persetujuan manajer
Berapa nilai uang makan (per diem) harian untuk perjalanan dinas domestik?,Uang makan harian untuk perjalanan dinas domestik adalah IDR 250.000 per hari.,Policy_Travel_Expense.docx,TRUE,IDR 250.000 | per hari | uang makan (per diem)
Berapa batas maksimum biaya hotel per malam untuk perjalanan dinas domestik?,Biaya hotel dibatasi maksimal IDR 800.000 per malam untuk perjalanan dinas domestik.,Policy_Travel_Expense.docx,TRUE,IDR 800.000 | per malam | batas biaya hotel
Siapa saja yang berhak mengajukan kerja jarak jauh (remote work)?,"Seluruh karyawan tetap (confirmed employees) berhak bekerja jarak jauh, dengan persetujuan manajer.",Policy_WFH.docx,TRUE,karyawan tetap | memenuhi syarat | persetujuan manajer
Berapa skor CSAT dan NPS perusahaan secara keseluruhan pada tahun 2025?,"Skor CSAT keseluruhan pada 2025 adalah 87%, dan Net Promoter Score mencapai 46.",Report_CSAT_2025.pdf,TRUE,87% | CSAT | NPS 46
Berapa jumlah karyawan yang direkrut pada semester pertama 2025 dan berapa total headcount-nya?,"Perusahaan merekrut 37 karyawan pada semester pertama (H1) 2025, sehingga total headcount mencapai 312 orang, dengan rata-rata waktu perekrutan 28 hari.",Report_Hiring_H1_2025.pdf,TRUE,37 karyawan | 312 total karyawan | 28 hari
